Sensor(0-Laser,1-Radar)                     Timestamp                 NIS
                   0              125468                   0
                   1              125473             8.21874
                   0              125478             0.14349
                   1              125483             1.88774
                   0              125488           0.0882907
                   1              125493             4.26865
                   0              125498            0.238183
                   1              125503             3.63456
                   0              125508          0.00993692
                   1              125513            0.233329
                   0              125518             1.06206
                   1              125523             1.07072
                   0              125528             1.87223
                   1              125533             4.72782
                   0              125538            0.509747
                   1              125543             2.46894
                   0              125548             13.5329
                   1              125553             2.18342
                   0              125558             2.35944
                   1              125563             1.71386
                   0              125568              1.5542
                   1              125573             3.69136
                   0              125578             4.35679
                   1              125583             0.87596
                   0              125588            0.352058
                   1              125593             3.64725
                   0              125598             3.57579
                   1              125603             3.66335
                   0              125608            0.613737
                   1              125613             2.69879
                   0              125618            0.647231
                   1              125623             6.38624
                   0              125628            0.726822
                   1              125633             6.51141
                   0              125638            0.842708
                   1              125643             4.15719
                   0              125648             2.08766
                   1              125653             3.59434
                   0              125658             1.10624
                   1              125663             3.13257
                   0              125668             3.14897
                   1              125673             2.40067
                   0              125678              2.5256
                   1              125683             1.19058
                   0              125688            0.684309
                   1              125693             1.07286
                   0              125698             1.13559
                   1              125703            0.938329
                   0              125708             3.41751
                   1              125713             3.48138
                   0              125718             2.33562
                   1              125723             9.97703
                   0              125728            0.930012
                   1              125733            0.130085
                   0              125738            0.248913
                   1              125743             1.89816
                   0              125748             2.52976
                   1              125753             3.74215
                   0              125758            0.993141
                   1              125763              2.3004
                   0              125768            0.518464
                   1              125773             1.06644
                   0              125778            0.317551
                   1              125783             1.63276
                   0              125788            0.290396
                   1              125793            0.796617
                   0              125798            0.404946
                   1              125803             3.68217
                   0              125808            0.176522
                   1              125813             1.83785
                   0              125818            0.414179
                   1              125823              3.3229
                   0              125828             3.32252
                   1              125833            0.601579
                   0              125838             1.24172
                   1              125843            0.580989
                   0              125848            0.111531
                   1              125853            0.100986
                   0              125858             3.79955
                   1              125863            0.710716
                   0              125868             5.29172
                   1              125873             4.46697
                   0              125878            0.375738
                   1              125883            0.490329
                   0              125888             1.72448
                   1              125893             2.50118
                   0              125898             5.80341
                   1              125903            0.826792
                   0              125908             5.05676
                   1              125913             1.00748
                   0              125918             2.77739
                   1              125923             2.35557
                   0              125928            0.572015
                   1              125933             6.96049
                   0              125938            0.300305
                   1              125943              2.3659
                   0              125948             1.62556
                   1              125953             4.92034
                   0              125958           0.0658221
                   1              125963             8.85858
                   0              125968             5.28348
                   1              125973             4.68969
                   0              125978            0.838262
                   1              125983             2.64595
                   0              125988             2.06852
                   1              125993             2.15382
                   0              125998             1.14201
                   1              126003             1.42266
                   0              126008             1.27982
                   1              126013            0.803215
                   0              126018            0.285121
                   1              126023             1.37854
                   0              126028             1.07948
                   1              126033              3.3302
                   0              126038             2.25633
                   1              126043             6.96003
                   0              126048             4.17801
                   1              126053             1.84352
                   0              126058           0.0495723
                   1              126063             2.16552
                   0              126068             1.02128
                   1              126073            0.332195
                   0              126078           0.0465408
                   1              126083             5.67225
                   0              126088             1.58415
                   1              126093             6.30874
                   0              126098             3.75685
                   1              126103             1.20914
                   0              126108            0.844621
                   1              126113             3.13909
                   0              126118             1.29419
                   1              126123             6.42527
                   0              126128            0.343161
                   1              126133             2.04159
                   0              126138            0.480469
                   1              126143             2.87442
                   0              126148             2.85594
                   1              126153             3.15146
                   0              126158            0.766742
                   1              126163              9.9716
                   0              126168            0.773261
                   1              126173             3.29603
                   0              126178             1.33411
                   1              126183             5.56752
                   0              126188             1.68076
                   1              126193             2.41041
                   0              126198            0.609754
                   1              126203             1.30309
                   0              126208            0.827947
                   1              126213            0.177209
                   0              126218             2.03509
                   1              126223             1.35672
                   0              126228            0.187191
                   1              126233             2.17181
                   0              126238             1.71589
                   1              126243             2.72418
                   0              126248            0.298191
                   1              126253             0.85709
                   0              126258              1.6498
                   1              126263             1.03614
                   0              126268            0.601493
                   1              126273             4.05978
                   0              126278            0.456802
                   1              126283             5.43131
                   0              126288             3.41825
                   1              126293             1.04254
                   0              126298             1.64816
                   1              126303             1.04394
                   0              126308             1.36596
                   1              126313             1.86687
                   0              126318             1.70444
                   1              126323             4.92006
                   0              126328             2.74185
                   1              126333            0.208145
                   0              126338            0.119745
                   1              126343             3.37394
                   0              126348             3.68918
                   1              126353            0.278887
                   0              126358             0.96371
                   1              126363            0.413852
                   0              126368            0.493975
                   1              126373             2.68474
                   0              126378              1.1247
                   1              126383             2.10221
                   0              126388            0.892425
                   1              126393             1.60473
                   0              126398              1.9548
                   1              126403             4.61698
                   0              126408            0.594798
                   1              126413             1.45181
                   0              126418             1.06779
                   1              126423             1.37942
                   0              126428             2.24643
                   1              126433             6.64821
                   0              126438             2.93675
                   1              126443              3.4915
                   0              126448             1.18457
                   1              126453             2.47209
                   0              126458             6.12479
                   1              126463             2.70569
                   0              126468            0.233156
                   1              126473             2.49763
                   0              126478            0.542188
                   1              126483             4.87656
                   0              126488             2.38157
                   1              126493            0.646282
                   0              126498             1.39441
                   1              126503             2.83349
                   0              126508            0.998883
                   1              126513            0.861878
                   0              126518             2.79873
                   1              126523             1.75143
                   0              126528            0.566185
                   1              126533              2.1546
                   0              126538             1.11731
                   1              126543             3.17412
                   0              126548             2.70397
                   1              126553            0.691613
                   0              126558             2.57395
                   1              126563             1.37277
                   0              126568             2.33237
                   1              126573             4.24872
                   0              126578            0.535687
                   1              126583             3.48839
                   0              126588            0.504365
                   1              126593             2.33074
                   0              126598             3.24797
                   1              126603             1.73232
                   0              126608             1.12225
                   1              126613              3.0537
                   0              126618            0.915187
                   1              126623             2.07435
                   0              126628             1.59233
                   1              126633            0.425098
                   0              126638            0.707953
                   1              126643              2.4337
                   0              126648             4.50978
                   1              126653             1.85018
                   0              126658            0.232664
                   1              126663             2.97406
                   0              126668            0.640417
                   1              126673             5.32221
                   0              126678            0.685207
                   1              126683             4.73993
                   0              126688            0.407236
                   1              126693             2.14127
                   0              126698             2.57228
                   1              126703              3.8677
                   0              126708            0.677644
                   1              126713             3.11267
                   0              126718             1.68014
                   1              126723             1.64194
                   0              126728            0.574653
                   1              126733            0.620329
                   0              126738             2.18061
                   1              126743             1.85008
                   0              126748             2.77417
                   1              126753             1.37987
                   0              126758             0.55864
                   1              126763             3.75254
                   0              126768           0.0302501
                   1              126773            0.541388
                   0              126778             1.58908
                   1              126783            0.373144
                   0              126788            0.829924
                   1              126793             3.33639
                   0              126798             1.96681
                   1              126803            0.266856
                   0              126808              4.8225
                   1              126813             1.20634
                   0              126818             4.09386
                   1              126823             5.50045
                   0              126828             1.57961
                   1              126833             8.96302
                   0              126838             1.65205
                   1              126843             4.06605
                   0              126848             2.89429
                   1              126853             4.99112
                   0              126858             1.44855
                   1              126863             2.91097
                   0              126868             0.97389
                   1              126873             2.93978
                   0              126878             0.85003
                   1              126883             2.91699
                   0              126888            0.197012
                   1              126893            0.793144
                   0              126898              3.4176
                   1              126903            0.366839
                   0              126908             1.36063
                   1              126913             4.50928
                   0              126918             4.51834
                   1              126923            0.454258
                   0              126928            0.518312
                   1              126933             0.40505
                   0              126938             1.27588
                   1              126943             2.18934
                   0              126948             0.21169
                   1              126953             3.86839
                   0              126958             1.96992
                   1              126963              0.3142
                   0              126968            0.362952
                   1              126973             6.60967
                   0              126978             6.77217
                   1              126983            0.869679
                   0              126988             0.18133
                   1              126993             7.08746
                   0              126998            0.596632
                   1              127003              1.0927
                   0              127008             3.00107
                   1              127013             1.80329
                   0              127018             2.95317
                   1              127023             1.30789
                   0              127028             3.94613
                   1              127033             1.87415
                   0              127038             3.51158
                   1              127043             2.15627
                   0              127048            0.587066
                   1              127053             2.36775
                   0              127058             2.02614
                   1              127063             1.68128
                   0              127068             3.05346
                   1              127073             2.54302
                   0              127078              1.7569
                   1              127083             3.14322
                   0              127088             1.85936
                   1              127093             2.86672
                   0              127098            0.881969
                   1              127103            0.349586
                   0              127108              1.5822
                   1              127113             4.46842
                   0              127118             5.14134
                   1              127123             2.29501
                   0              127128             1.95893
                   1              127133             2.46451
                   0              127138            0.492733
                   1              127143             5.04001
                   0              127148             1.27131
                   1              127153             8.21734
                   0              127158            0.498728
                   1              127163             1.66437
                   0              127168            0.160702
                   1              127173            0.454267
                   0              127178             2.66078
                   1              127183             1.79635
                   0              127188            0.270938
                   1              127193             3.98328
                   0              127198             2.88646
                   1              127203            0.897449
                   0              127208            0.960259
                   1              127213             4.89907
                   0              127218              16.116
                   1              127223             1.52351
                   0              127228            0.744309
                   1              127233             2.31885
                   0              127238             1.72044
                   1              127243              1.7756
                   0              127248             2.61561
                   1              127253             5.75156
                   0              127258            0.792747
                   1              127263             2.35415
                   0              127268             1.14112
                   1              127273            0.925639
                   0              127278             4.53217
                   1              127283             2.67684
                   0              127288             2.05211
                   1              127293               2.402
                   0              127298            0.743132
                   1              127303            0.871952
                   0              127308             2.52685
                   1              127313             1.94568
                   0              127318             2.89158
                   1              127323             3.41271
                   0              127328             5.61474
                   1              127333             0.33235
                   0              127338             2.57508
                   1              127343             1.84285
                   0              127348             0.49048
                   1              127353             1.08533
                   0              127358            0.490353
                   1              127363             5.76447
                   0              127368             0.74518
                   1              127373            0.139588
                   0              127378            0.471609
                   1              127383             11.5477
                   0              127388             2.05367
                   1              127393             2.57327
                   0              127398             4.28863
                   1              127403           0.0269309
                   0              127408             1.20328
                   1              127413             2.15058
                   0              127418              5.9627
                   1              127423             1.36384
                   0              127428             1.42816
                   1              127433             1.81764
                   0              127438             1.07752
                   1              127443              1.8837
                   0              127448            0.107172
                   1              127453             5.21175
                   0              127458            0.457452
                   1              127463             2.24222
                   0              127468             2.50012
                   1              127473             1.72956
                   0              127478             1.92355
                   1              127483             1.74434
                   0              127488             3.27397
                   1              127493             6.43016
                   0              127498           0.0958453
                   1              127503             7.79853
                   0              127508            0.243437
                   1              127513            0.634165
                   0              127518            0.739554
                   1              127523            0.405757
                   0              127528            0.101508
                   1              127533             3.16193
                   0              127538             1.70163
                   1              127543             2.10249
                   0              127548            0.156617
                   1              127553             1.06569
                   0              127558             3.71523
                   1              127563            0.606977
                   0              127568             2.00682
                   1              127573              9.1126
                   0              127578            0.434469
                   1              127583             2.30991
                   0              127588            0.927845
                   1              127593            0.822604
                   0              127598             1.17869
                   1              127603             2.97268
                   0              127608           0.0222451
                   1              127613             4.77237
                   0              127618            0.128302
                   1              127623             1.23696
                   0              127628             4.16106
                   1              127633             5.52558
                   0              127638             1.12027
                   1              127643             2.03347
                   0              127648            0.240096
                   1              127653             2.61487
                   0              127658             2.14763
                   1              127663             5.86701
                   0              127668           0.0958718
                   1              127673             1.43231
                   0              127678              4.6504
                   1              127683             5.28834
                   0              127688             2.70567
                   1              127693              5.2779
                   0              127698             1.39976
                   1              127703             1.06245
                   0              127708            0.538487
                   1              127713            0.563026
                   0              127718             1.02129
                   1              127723             4.80241
                   0              127728              6.2546
                   1              127733             1.71178
                   0              127738              0.7911
                   1              127743             5.49812
                   0              127748             3.97599
                   1              127753             3.40696
                   0              127758             1.79085
                   1              127763            0.503825
                   0              127768             2.26353
                   1              127773            0.128242
                   0              127778             1.61429
                   1              127783            0.661535
                   0              127788            0.233506
                   1              127793             0.25374
                   0              127798             1.19067
                   1              127803             7.76166
                   0              127808            0.583854
                   1              127813             6.72207
                   0              127818             1.88724
                   1              127823            0.619032
                   0              127828             8.52318
                   1              127833             1.08691
                   0              127838            0.658753
                   1              127843            0.625341
                   0              127848             3.60347
                   1              127853             1.26906
                   0              127858             2.11415
                   1              127863             0.25645
                   0              127868             1.63643
                   1              127873             2.97249
                   0              127878              0.7358
                   1              127883             8.73122
                   0              127888             2.81375
                   1              127893            0.590605
                   0              127898            0.967581
                   1              127903             7.79792
                   0              127908              1.8009
                   1              127913              4.1202
                   0              127918              0.5157
                   1              127923              2.6837
                   0              127928            0.760131
                   1              127933             6.78392
                   0              127938             6.72322
                   1              127943             0.95941
                   0              127948             3.96491
                   1              127953             1.52395
                   0              127958            0.558559
