Sensor(0-Laser,1-Radar)                     Timestamp                 NIS
                   0              125468                   0
                   1              125473             8.16905
                   0              125478            0.142942
                   1              125483             1.88793
                   0              125488           0.0883702
                   1              125493               3.897
                   0              125498            0.223751
                   1              125503             3.07399
                   0              125508           0.0259368
                   1              125513            0.128992
                   0              125518            0.972995
                   1              125523             1.28347
                   0              125528             2.02726
                   1              125533             4.50208
                   0              125538            0.410127
                   1              125543             1.60371
                   0              125548             11.1605
                   1              125553            0.758328
                   0              125558             3.28817
                   1              125563              1.7922
                   0              125568             1.89858
                   1              125573             3.15248
                   0              125578             3.66898
                   1              125583            0.212152
                   0              125588            0.179777
                   1              125593             1.41594
                   0              125598              2.2375
                   1              125603             5.09546
                   0              125608            0.580312
                   1              125613             2.11393
                   0              125618            0.222078
                   1              125623             5.72542
                   0              125628            0.448901
                   1              125633             6.77393
                   0              125638            0.712259
                   1              125643             3.92004
                   0              125648             1.90228
                   1              125653             3.58098
                   0              125658             1.03141
                   1              125663             1.63209
                   0              125668             1.95378
                   1              125673             3.11206
                   0              125678             2.56653
                   1              125683            0.643932
                   0              125688            0.239085
                   1              125693             1.23153
                   0              125698            0.678986
                   1              125703            0.352663
                   0              125708             3.32357
                   1              125713             2.08972
                   0              125718             2.25933
                   1              125723             9.63856
                   0              125728             1.10765
                   1              125733            0.110793
                   0              125738            0.330487
                   1              125743             1.25544
                   0              125748             2.78324
                   1              125753             2.97709
                   0              125758             0.43601
                   1              125763             2.22037
                   0              125768            0.188769
                   1              125773             1.33104
                   0              125778            0.513218
                   1              125783             1.04274
                   0              125788            0.216933
                   1              125793            0.840704
                   0              125798            0.486553
                   1              125803             2.03339
                   0              125808            0.496794
                   1              125813             1.70355
                   0              125818           0.0927314
                   1              125823              2.6986
                   0              125828             1.17111
                   1              125833            0.443833
                   0              125838              1.2504
                   1              125843             1.02692
                   0              125848            0.941281
                   1              125853            0.239277
                   0              125858             1.35854
                   1              125863            0.663775
                   0              125868             3.18972
                   1              125873             3.46533
                   0              125878              2.3899
                   1              125883            0.350225
                   0              125888             1.22513
                   1              125893             2.05601
                   0              125898             2.84844
                   1              125903             0.37322
                   0              125908             3.74104
                   1              125913            0.903489
                   0              125918             3.68524
                   1              125923             1.69123
                   0              125928             1.37239
                   1              125933             7.66569
                   0              125938            0.854702
                   1              125943              2.0677
                   0              125948              1.9857
                   1              125953              4.7156
                   0              125958            0.311914
                   1              125963             7.88904
                   0              125968             5.84146
                   1              125973             4.67604
                   0              125978             0.55557
                   1              125983               2.462
                   0              125988             2.48748
                   1              125993             2.18984
                   0              125998            0.822386
                   1              126003             1.32546
                   0              126008             1.53204
                   1              126013            0.782985
                   0              126018            0.430927
                   1              126023             1.31146
                   0              126028            0.867269
                   1              126033             3.33925
                   0              126038             2.30882
                   1              126043             6.63943
                   0              126048             2.80339
                   1              126053             1.36169
                   0              126058            0.581843
                   1              126063             1.85876
                   0              126068            0.300586
                   1              126073            0.208987
                   0              126078            0.662634
                   1              126083             5.93649
                   0              126088             1.80961
                   1              126093             6.39309
                   0              126098             3.44965
                   1              126103             1.21597
                   0              126108             1.11647
                   1              126113             3.09386
                   0              126118            0.849621
                   1              126123             6.17845
                   0              126128             0.92324
                   1              126133             1.92662
                   0              126138            0.100877
                   1              126143             2.98483
                   0              126148             2.91468
                   1              126153             3.26936
                   0              126158            0.685941
                   1              126163             10.0363
                   0              126168            0.696024
                   1              126173              3.3442
                   0              126178            0.926147
                   1              126183             5.21943
                   0              126188             2.05938
                   1              126193             2.41582
                   0              126198            0.561957
                   1              126203             1.13381
                   0              126208            0.687873
                   1              126213            0.117491
                   0              126218             1.31264
                   1              126223             1.40285
                   0              126228             0.22215
                   1              126233             2.27126
                   0              126238             2.03546
                   1              126243             2.68909
                   0              126248            0.230217
                   1              126253            0.888062
                   0              126258             1.62836
                   1              126263             1.01968
                   0              126268            0.485948
                   1              126273             4.10396
                   0              126278            0.126106
                   1              126283             5.36978
                   0              126288             3.98705
                   1              126293             1.10344
                   0              126298             1.36629
                   1              126303            0.880543
                   0              126308             0.38128
                   1              126313             1.68038
                   0              126318             2.97611
                   1              126323             4.65254
                   0              126328             2.74431
                   1              126333            0.127182
                   0              126338           0.0567375
                   1              126343             3.32541
                   0              126348             1.55417
                   1              126353            0.278324
                   0              126358           0.0278204
                   1              126363             0.61281
                   0              126368            0.192263
                   1              126373             3.11715
                   0              126378            0.102245
                   1              126383             1.40865
                   0              126388             2.57153
                   1              126393             1.78217
                   0              126398             2.01866
                   1              126403             4.41946
                   0              126408            0.247193
                   1              126413             1.73247
                   0              126418            0.980638
                   1              126423            0.933134
                   0              126428            0.740371
                   1              126433             6.26702
                   0              126438             3.57091
                   1              126443             3.44229
                   0              126448            0.906895
                   1              126453             2.07249
                   0              126458             6.19101
                   1              126463              2.2198
                   0              126468           0.0193198
                   1              126473              2.0185
                   0              126478            0.476613
                   1              126483             4.26802
                   0              126488              2.3497
                   1              126493             0.30587
                   0              126498             1.21041
                   1              126503             2.24895
                   0              126508            0.480194
                   1              126513            0.918039
