Sensor(0-Laser,1-Radar)                     Timestamp                 NIS
                   0              125468                   0
                   1              125473             8.20664
                   0              125478            0.143358
                   1              125483             1.88779
                   0              125488           0.0882935
                   1              125493             4.16763
                   0              125498            0.234248
                   1              125503             3.44518
                   0              125508           0.0136962
                   1              125513            0.167891
                   0              125518             1.02337
                   1              125523             1.14768
                   0              125528             1.94283
                   1              125533             4.61962
                   0              125538            0.443479
                   1              125543             1.90725
                   0              125548              11.996
                   1              125553            0.988094
                   0              125558             2.96931
                   1              125563             2.00797
                   0              125568             1.81335
                   1              125573              3.2126
                   0              125578             3.72812
                   1              125583            0.246079
                   0              125588            0.223505
                   1              125593             1.93742
                   0              125598             2.29837
                   1              125603             5.43246
                   0              125608            0.612731
                   1              125613             2.12339
                   0              125618            0.254168
                   1              125623             6.38076
                   0              125628            0.400135
                   1              125633             6.79948
                   0              125638            0.707034
                   1              125643             3.95788
                   0              125648             1.87533
                   1              125653             3.81714
                   0              125658             1.11692
                   1              125663             2.33857
                   0              125668             2.59301
                   1              125673             3.00522
                   0              125678             2.63222
                   1              125683            0.678332
                   0              125688            0.276422
                   1              125693             1.49554
                   0              125698            0.656181
                   1              125703            0.632972
                   0              125708             3.39123
                   1              125713             2.65492
                   0              125718             2.26293
                   1              125723             9.87706
                   0              125728             1.16854
                   1              125733           0.0917046
                   0              125738             0.29513
                   1              125743              1.6859
                   0              125748             2.67363
                   1              125753             3.27529
                   0              125758            0.551815
                   1              125763             2.24234
                   0              125768            0.212294
                   1              125773             1.31005
                   0              125778            0.509692
                   1              125783             1.39618
                   0              125788            0.161247
                   1              125793            0.818482
                   0              125798            0.513782
                   1              125803             2.83259
                   0              125808            0.242119
                   1              125813             1.80753
                   0              125818            0.197435
                   1              125823             2.92397
                   0              125828             1.68222
                   1              125833            0.490273
                   0              125838             1.03088
                   1              125843            0.943305
                   0              125848            0.681281
                   1              125853            0.209293
                   0              125858             1.63921
                   1              125863            0.730449
                   0              125868             3.24155
                   1              125873             3.95256
                   0              125878             2.06342
                   1              125883            0.346957
                   0              125888             1.24134
                   1              125893             2.15812
                   0              125898             2.93635
                   1              125903             0.44949
                   0              125908             3.71335
                   1              125913             1.06722
                   0              125918             3.47686
                   1              125923             1.91722
                   0              125928             1.15544
                   1              125933             7.72857
                   0              125938            0.951535
                   1              125943             2.04616
                   0              125948             2.09504
                   1              125953              4.9426
                   0              125958            0.134332
                   1              125963             8.15988
                   0              125968             5.85777
                   1              125973             4.67179
                   0              125978            0.721851
                   1              125983             2.60384
                   0              125988             2.38103
                   1              125993              2.1935
                   0              125998            0.938136
                   1              126003             1.32515
                   0              126008              1.4507
                   1              126013            0.798784
                   0              126018            0.382313
                   1              126023              1.3275
                   0              126028            0.955776
                   1              126033             3.30048
                   0              126038             2.26998
                   1              126043             6.78918
                   0              126048             3.40947
                   1              126053             1.64489
                   0              126058            0.182283
                   1              126063             2.01466
                   0              126068            0.360988
                   1              126073            0.233067
                   0              126078            0.467425
                   1              126083             5.83195
                   0              126088             2.18058
                   1              126093             6.21747
                   0              126098             3.80219
                   1              126103            0.979707
                   0              126108            0.890214
                   1              126113             3.36345
                   0              126118            0.935027
                   1              126123             6.25533
                   0              126128            0.706749
                   1              126133             1.93436
                   0              126138            0.183561
                   1              126143             2.97345
                   0              126148             2.87337
                   1              126153             3.24001
                   0              126158            0.841752
                   1              126163             9.91682
                   0              126168            0.750437
                   1              126173             3.33167
                   0              126178             1.08083
                   1              126183             5.34361
                   0              126188             1.87617
                   1              126193             2.46569
                   0              126198            0.552832
                   1              126203             1.14452
                   0              126208            0.689005
                   1              126213            0.102067
                   0              126218             1.42333
                   1              126223             1.28857
                   0              126228            0.146996
                   1              126233             2.38094
                   0              126238             2.10885
                   1              126243             2.64686
                   0              126248            0.200003
                   1              126253            0.907193
                   0              126258             1.66362
                   1              126263             1.02673
                   0              126268            0.588382
                   1              126273             4.05652
                   0              126278            0.264109
                   1              126283             5.37465
                   0              126288             3.54627
                   1              126293             1.13544
                   0              126298             1.57006
                   1              126303            0.872703
                   0              126308            0.748079
                   1              126313              1.8211
                   0              126318              2.4998
                   1              126323             4.77208
                   0              126328             2.83427
                   1              126333            0.147924
                   0              126338           0.0700355
                   1              126343             3.28238
                   0              126348             2.41177
                   1              126353            0.290995
                   0              126358             0.10075
                   1              126363            0.570741
                   0              126368           0.0915273
                   1              126373              3.0242
                   0              126378            0.191144
                   1              126383             1.56696
                   0              126388             2.21696
                   1              126393             1.77614
                   0              126398             2.05465
                   1              126403             4.79083
                   0              126408            0.501125
                   1              126413             1.57799
                   0              126418             1.04538
                   1              126423             1.14199
                   0              126428             1.13493
                   1              126433              6.8458
                   0              126438             3.60193
                   1              126443             3.38506
                   0              126448             1.00898
                   1              126453              2.3871
                   0              126458             6.18879
                   1              126463             2.43747
                   0              126468           0.0515213
                   1              126473             2.48612
                   0              126478            0.505435
                   1              126483             4.48807
                   0              126488             2.29213
                   1              126493            0.435486
                   0              126498             1.13579
                   1              126503             2.73716
                   0              126508             0.56431
                   1              126513            0.866097
                   0              126518              1.4096
                   1              126523             2.17148
                   0              126528             1.23051
                   1              126533             2.07834
                   0              126538            0.471488
                   1              126543             1.86336
                   0              126548             3.83222
                   1              126553            0.396995
                   0              126558             1.68306
                   1              126563             1.69088
                   0              126568             3.02988
                   1              126573             3.41479
                   0              126578            0.652646
                   1              126583             3.34306
                   0              126588            0.445073
                   1              126593             2.52727
                   0              126598             3.11255
                   1              126603             1.52367
                   0              126608            0.800194
                   1              126613             3.02487
                   0              126618            0.511404
                   1              126623             1.33847
                   0              126628             2.21443
                   1              126633            0.701069
                   0              126638            0.968696
                   1              126643             2.13301
                   0              126648             3.90171
                   1              126653             2.18268
                   0              126658           0.0624793
                   1              126663             2.39364
                   0              126668             1.17081
                   1              126673              5.4705
                   0              126678            0.704906
                   1              126683             4.26623
                   0              126688            0.204089
                   1              126693             2.42443
                   0              126698             2.42447
                   1              126703             3.06391
                   0              126708             0.18888
                   1              126713             4.05515
                   0              126718             1.98677
                   1              126723             1.61626
                   0              126728            0.571355
                   1              126733            0.704068
                   0              126738             1.85774
                   1              126743             1.57048
                   0              126748             1.66706
                   1              126753             1.86309
                   0              126758             1.08441
                   1              126763             4.02956
                   0              126768           0.0227956
                   1              126773            0.470828
                   0              126778             1.31668
                   1              126783             0.36156
                   0              126788            0.478483
                   1              126793              3.5524
                   0              126798             1.30589
                   1              126803           0.0643972
                   0              126808             5.42865
                   1              126813             1.30598
                   0              126818             3.85603
                   1              126823             5.75305
                   0              126828             1.59691
                   1              126833             8.84744
                   0              126838              1.5634
                   1              126843              3.2713
                   0              126848             1.74794
                   1              126853              4.8962
                   0              126858             2.42623
                   1              126863             3.24354
                   0              126868            0.874856
                   1              126873             2.36658
                   0              126878            0.767073
                   1              126883             3.25224
                   0              126888            0.209557
                   1              126893            0.801513
                   0              126898             3.19445
                   1              126903            0.324453
                   0              126908             1.39695
                   1              126913             4.44599
                   0              126918             4.31417
                   1              126923            0.479528
                   0              126928            0.735408
                   1              126933            0.442855
                   0              126938             1.26509
                   1              126943             1.81095
                   0              126948            0.174444
                   1              126953             3.11775
                   0              126958             2.04031
                   1              126963            0.297673
                   0              126968           0.0756363
                   1              126973              5.0981
                   0              126978             3.50032
                   1              126983             1.28788
                   0              126988            0.960284
                   1              126993             7.02812
                   0              126998            0.652293
                   1              127003            0.698776
                   0              127008             3.82285
                   1              127013             1.41972
                   0              127018             3.42171
                   1              127023             1.34042
                   0              127028             3.56183
                   1              127033             1.56233
                   0              127038             2.67777
                   1              127043            0.923115
                   0              127048            0.206881
                   1              127053             2.90003
                   0              127058             1.37482
                   1              127063              1.2256
                   0              127068             4.12712
                   1              127073             2.62665
                   0              127078              1.3974
                   1              127083             2.78225
                   0              127088             1.89322
                   1              127093             2.78222
                   0              127098            0.937052
                   1              127103            0.453599
                   0              127108             1.74287
                   1              127113             4.53484
                   0              127118             5.28154
                   1              127123             2.09755
                   0              127128             2.01327
                   1              127133             2.15046
                   0              127138            0.500229
                   1              127143             4.75441
                   0              127148             1.46171
                   1              127153             8.27883
                   0              127158            0.510771
                   1              127163             1.65409
                   0              127168            0.155134
                   1              127173             0.36877
                   0              127178             2.16386
                   1              127183             1.75272
                   0              127188            0.274948
                   1              127193             3.82881
                   0              127198             3.13493
                   1              127203             0.85259
                   0              127208            0.771841
                   1              127213             4.75576
                   0              127218             15.0563
                   1              127223             1.51191
                   0              127228            0.957904
                   1              127233             2.60788
                   0              127238             1.02745
                   1              127243             1.99051
                   0              127248            0.997359
                   1              127253             5.72337
                   0              127258           0.0463779
                   1              127263             2.56175
                   0              127268             1.60353
                   1              127273            0.681114
                   0              127278             5.95021
                   1              127283              2.4695
                   0              127288             1.98117
                   1              127293             2.59887
                   0              127298            0.919944
                   1              127303            0.798065
                   0              127308             2.52026
                   1              127313             2.01981
                   0              127318             2.73709
                   1              127323             3.45464
                   0              127328             5.37892
                   1              127333            0.317101
                   0              127338             2.88496
                   1              127343             1.80472
                   0              127348            0.390423
                   1              127353            0.997247
                   0              127358            0.598124
                   1              127363             5.55217
                   0              127368            0.451079
                   1              127373            0.199548
                   0              127378            0.684908
                   1              127383             11.4168
                   0              127388             1.66407
                   1              127393               2.117
                   0              127398              3.9307
                   1              127403           0.0785956
                   0              127408             1.35017
                   1              127413              2.4536
                   0              127418             5.95331
                   1              127423             1.45278
                   0              127428            0.997684
                   1              127433             1.79135
                   0              127438              1.2348
                   1              127443             1.88006
                   0              127448           0.0010447
                   1              127453             5.10529
                   0              127458            0.754259
                   1              127463             2.34023
                   0              127468             2.55104
                   1              127473             2.73516
                   0              127478             1.24791
                   1              127483             1.83042
                   0              127488             2.48069
                   1              127493             5.80183
                   0              127498            0.420505
                   1              127503             8.36155
                   0              127508            0.685055
                   1              127513            0.725383
                   0              127518            0.839791
                   1              127523            0.374147
                   0              127528            0.161263
                   1              127533              3.0501
                   0              127538              1.4375
                   1              127543             2.11772
                   0              127548            0.320737
                   1              127553             1.10156
                   0              127558             3.60996
                   1              127563             0.55563
                   0              127568             2.18148
                   1              127573             9.05825
                   0              127578            0.387371
                   1              127583             2.31487
                   0              127588              1.0258
                   1              127593            0.806566
                   0              127598             1.16047
                   1              127603             2.94566
                   0              127608           0.0114792
                   1              127613             4.40292
